<><><><><><><><> 
Begin: 26-Feb-2014 11:04:28 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s00 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (masc - 1 :: fem - 7) 5. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.012 0.012 
0.350 0.012 0.012 
0.500 0.012 0.012 
0.250 0.012 0.012 
0.617 0.011 0.011 
0.468 0.012 0.012 
0.350 0.011 0.011 
0.368 0.012 0.012 
0.934 0.012 0.012 
0.750 0.012 0.012 
0.584 0.012 0.012 
0.934 0.011 0.011 
0.284 0.012 0.012 
0.801 0.011 0.011 
0.785 0.012 0.012 
0.651 0.012 0.012 
0.351 0.012 0.012 
0.685 0.012 0.012 
0.450 0.012 0.012 
0.316 0.011 0.011 
0.366 0.012 0.012 
0.918 0.012 0.012 
0.266 0.012 0.012 
0.401 0.012 0.012 
0.250 0.012 0.012 
0.551 0.012 0.012 
0.217 0.012 0.012 
0.918 0.011 0.011 
0.367 0.012 0.012 
0.284 0.012 0.012 
0.451 0.012 0.012 
0.567 0.012 0.012 
0.284 0.012 0.012 
1.001 0.012 0.012 
0.468 0.012 0.012 
0.435 0.012 0.012 
0.250 0.011 0.011 
0.433 0.012 0.012 
0.234 0.012 0.012 
0.602 0.012 0.012 
0.817 0.011 0.011 
0.700 0.012 0.012 
0.267 0.011 0.011 
0.266 0.012 0.012 
0.817 0.012 0.012 
0.934 0.012 0.012 
0.635 0.012 0.012 
0.283 0.012 0.012 
0.867 0.012 0.012 
0.468 0.096 0.096 
0.433 0.012 0.012 
0.802 0.012 0.012 
0.217 0.012 0.012 
0.250 0.012 0.012 
0.734 0.012 0.012 
0.684 0.011 0.011 
0.617 0.012 0.012 
0.784 0.012 0.012 
0.768 0.012 0.012 
0.834 0.012 0.012 
0.434 0.012 0.012 
0.750 0.012 0.012 
0.650 0.012 0.012 
0.517 0.012 0.012 
0.251 0.012 0.012 
0.834 0.012 0.012 
0.466 0.012 0.012 
0.684 0.012 0.012 
0.801 0.011 0.011 
0.284 0.012 0.012 
0.301 0.012 0.012 
0.650 0.012 0.012 
0.584 0.012 0.012 
0.918 0.012 0.012 
0.834 0.012 0.012 
0.783 0.012 0.012 
0.250 0.035 0.035 
0.267 0.011 0.011 
0.268 0.012 0.012 
0.834 0.012 0.012 
0.951 0.012 0.012 
0.751 0.023 0.023 
0.317 0.012 0.012 
0.784 0.012 0.012 
0.284 0.012 0.012 
0.300 0.012 0.012 
0.717 0.012 0.012 
0.467 0.094 0.094 
0.734 0.012 0.012 
0.801 0.012 0.012 
0.668 0.012 0.012 
0.800 0.012 0.012 
0.385 0.012 0.012 
0.784 0.012 0.012 
0.984 0.012 0.012 
0.902 0.012 0.012 
0.267 0.012 0.012 
0.500 0.012 0.012 
0.500 0.012 0.012 
0.750 0.012 0.012 
0.684 0.023 0.023 
0.834 0.012 0.012 
0.500 0.012 0.012 
0.368 0.012 0.012 
0.267 0.012 0.012 
0.818 0.011 0.011 
0.367 0.012 0.012 
0.517 0.012 0.012 
0.651 0.060 0.060 
0.385 0.011 0.011 
0.717 0.012 0.012 
